[2024-12-06T00:00:57.801+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T00:00:57.810+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: la_otra_schedule_scraper.scrape_la_otra_schedule manual__2024-12-06T00:00:57.124579+00:00 [queued]>
[2024-12-06T00:00:57.815+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: la_otra_schedule_scraper.scrape_la_otra_schedule manual__2024-12-06T00:00:57.124579+00:00 [queued]>
[2024-12-06T00:00:57.815+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-12-06T00:00:57.822+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): scrape_la_otra_schedule> on 2024-12-06 00:00:57.124579+00:00
[2024-12-06T00:00:57.826+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=126) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T00:00:57.827+0000] {standard_task_runner.py:72} INFO - Started process 127 to run task
[2024-12-06T00:00:57.827+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'la_otra_schedule_scraper', 'scrape_la_otra_schedule', 'manual__2024-12-06T00:00:57.124579+00:00', '--job-id', '619', '--raw', '--subdir', 'DAGS_FOLDER/dag_la_otra.py', '--cfg-path', '/tmp/tmptlaw4y15']
[2024-12-06T00:00:57.828+0000] {standard_task_runner.py:105} INFO - Job 619: Subtask scrape_la_otra_schedule
[2024-12-06T00:00:57.853+0000] {task_command.py:467} INFO - Running <TaskInstance: la_otra_schedule_scraper.scrape_la_otra_schedule manual__2024-12-06T00:00:57.124579+00:00 [running]> on host d88abb179e8d
[2024-12-06T00:00:57.892+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='la_otra_schedule_scraper' AIRFLOW_CTX_TASK_ID='scrape_la_otra_schedule' AIRFLOW_CTX_EXECUTION_DATE='2024-12-06T00:00:57.124579+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-06T00:00:57.124579+00:00'
[2024-12-06T00:00:57.893+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T00:00:58.191+0000] {logging_mixin.py:190} INFO - 20241203063000 +0100
[2024-12-06T00:00:58.191+0000] {logging_mixin.py:190} INFO - 20241203065700 +0100
[2024-12-06T00:00:58.192+0000] {logging_mixin.py:190} INFO - 20241203065700 +0100
[2024-12-06T00:00:58.192+0000] {logging_mixin.py:190} INFO - 20241203072400 +0100
[2024-12-06T00:00:58.192+0000] {logging_mixin.py:190} INFO - 20241203072400 +0100
[2024-12-06T00:00:58.192+0000] {logging_mixin.py:190} INFO - 20241203074900 +0100
[2024-12-06T00:00:58.193+0000] {logging_mixin.py:190} INFO - 20241203074900 +0100
[2024-12-06T00:00:58.193+0000] {logging_mixin.py:190} INFO - 20241203081500 +0100
[2024-12-06T00:00:58.193+0000] {logging_mixin.py:190} INFO - 20241203081500 +0100
[2024-12-06T00:00:58.193+0000] {logging_mixin.py:190} INFO - 20241203084200 +0100
[2024-12-06T00:00:58.193+0000] {logging_mixin.py:190} INFO - 20241203084200 +0100
[2024-12-06T00:00:58.193+0000] {logging_mixin.py:190} INFO - 20241203091800 +0100
[2024-12-06T00:00:58.194+0000] {logging_mixin.py:190} INFO - 20241203091800 +0100
[2024-12-06T00:00:58.194+0000] {logging_mixin.py:190} INFO - 20241203094800 +0100
[2024-12-06T00:00:58.194+0000] {logging_mixin.py:190} INFO - 20241203094800 +0100
[2024-12-06T00:00:58.194+0000] {logging_mixin.py:190} INFO - 20241203103400 +0100
[2024-12-06T00:00:58.194+0000] {logging_mixin.py:190} INFO - 20241203103400 +0100
[2024-12-06T00:00:58.195+0000] {logging_mixin.py:190} INFO - 20241203113400 +0100
[2024-12-06T00:00:58.195+0000] {logging_mixin.py:190} INFO - 20241203113400 +0100
[2024-12-06T00:00:58.195+0000] {logging_mixin.py:190} INFO - 20241203123700 +0100
[2024-12-06T00:00:58.195+0000] {logging_mixin.py:190} INFO - 20241203123700 +0100
[2024-12-06T00:00:58.195+0000] {logging_mixin.py:190} INFO - 20241203132800 +0100
[2024-12-06T00:00:58.196+0000] {logging_mixin.py:190} INFO - 20241203132800 +0100
[2024-12-06T00:00:58.196+0000] {logging_mixin.py:190} INFO - 20241203135500 +0100
[2024-12-06T00:00:58.196+0000] {logging_mixin.py:190} INFO - 20241203135500 +0100
[2024-12-06T00:00:58.196+0000] {logging_mixin.py:190} INFO - 20241203140000 +0100
[2024-12-06T00:00:58.196+0000] {logging_mixin.py:190} INFO - 20241203140000 +0100
[2024-12-06T00:00:58.196+0000] {logging_mixin.py:190} INFO - 20241203145500 +0100
[2024-12-06T00:00:58.197+0000] {logging_mixin.py:190} INFO - 20241203145500 +0100
[2024-12-06T00:00:58.197+0000] {logging_mixin.py:190} INFO - 20241203152100 +0100
[2024-12-06T00:00:58.197+0000] {logging_mixin.py:190} INFO - 20241203152100 +0100
[2024-12-06T00:00:58.197+0000] {logging_mixin.py:190} INFO - 20241203152900 +0100
[2024-12-06T00:00:58.198+0000] {logging_mixin.py:190} INFO - 20241203152900 +0100
